order_id,customer_id,country,region,state,city,postal_code,ship_mode,order_date,ship_date
CA-2015-103219,BF-11215,United States,East,New York,New York City,10035.0,Standard Class,2015-11-09,2015-11-13
CA-2015-103310,GM-14680,United States,West,California,San Jose,95123.0,Standard Class,2015-05-10,2015-05-15
CA-2015-103317,DM-13525,United States,South,Florida,Palm Coast,32137.0,First Class,2015-07-05,2015-07-08
CA-2015-103331,KB-16315,United States,East,Delaware,Newark,19711.0,Standard Class,2015-08-26,2015-09-01
CA-2015-103366,EH-13990,United States,South,Georgia,Roswell,30076.0,First Class,2015-01-15,2015-01-17
CA-2015-103373,BS-11755,United States,East,Ohio,Cleveland,44105.0,Standard Class,2015-05-18,2015-05-24
CA-2015-103401,GR-14560,United States,West,California,San Francisco,94110.0,Standard Class,2015-11-21,2015-11-26
CA-2015-103429,LW-16825,United States,East,New York,New York City,10024.0,First Class,2015-05-30,2015-06-01
CA-2015-103492,CM-12715,United States,Central,Texas,Huntsville,77340.0,Standard Class,2015-10-10,2015-10-15
CA-2015-103527,CC-12220,United States,Central,Illinois,Chicago,60653.0,Second Class,2015-09-09,2015-09-14
CA-2015-103590,JL-15505,United States,East,New York,Mount Vernon,10550.0,Standard Class,2015-11-30,2015-12-04
CA-2015-103660,MW-18220,United States,West,Washington,Seattle,98103.0,Standard Class,2015-08-25,2015-08-30
CA-2015-103702,AF-10885,United States,East,Ohio,Fairfield,45014.0,Standard Class,2015-09-12,2015-09-17
CA-2015-103744,MG-17875,United States,Central,Texas,El Paso,79907.0,Standard Class,2015-02-23,2015-02-27
CA-2015-103800,DP-13000,United States,Central,Texas,Houston,77095.0,Standard Class,2015-01-03,2015-01-07
CA-2015-103807,EM-13825,United States,South,Georgia,Sandy Springs,30328.0,Standard Class,2015-12-02,2015-12-09
CA-2015-103849,PG-18895,United States,Central,Texas,Fort Worth,76106.0,Standard Class,2015-05-11,2015-05-16
CA-2015-103940,BN-11515,United States,West,Washington,Seattle,98103.0,Standard Class,2015-09-17,2015-09-21
CA-2015-103989,MC-17605,United States,South,Florida,Lakeland,33801.0,First Class,2015-03-19,2015-03-21
CA-2015-104178,JM-15265,United States,West,California,Los Angeles,90036.0,Standard Class,2015-08-25,2015-08-29
CA-2015-104269,DB-13060,United States,West,Washington,Seattle,98115.0,Second Class,2015-03-01,2015-03-06
CA-2015-104283,LM-17065,United States,South,Mississippi,Southaven,38671.0,Standard Class,2015-06-27,2015-07-01
CA-2015-104402,DB-13660,United States,East,Delaware,Newark,19711.0,Standard Class,2015-06-17,2015-06-23
CA-2015-104472,CK-12325,United States,West,Utah,Orem,84057.0,Standard Class,2015-06-02,2015-06-07
CA-2015-104563,CM-12715,United States,West,Washington,Seattle,98103.0,Standard Class,2015-03-07,2015-03-12
CA-2015-104738,SP-20620,United States,Central,Texas,Laredo,78041.0,Second Class,2015-12-30,2016-01-01
CA-2015-104773,TB-21175,United States,Central,Texas,Houston,77041.0,Standard Class,2015-12-08,2015-12-13
CA-2015-104780,BT-11530,United States,West,California,San Diego,92037.0,Standard Class,2015-05-21,2015-05-25
CA-2015-104808,MH-17440,United States,West,California,Escondido,92025.0,Second Class,2015-02-04,2015-02-08
CA-2015-104829,JG-15805,United States,West,Utah,Provo,84604.0,Second Class,2015-11-18,2015-11-21
CA-2015-104976,CK-12760,United States,West,California,San Francisco,94122.0,Standard Class,2015-12-09,2015-12-16
CA-2015-105165,SZ-20035,United States,Central,Texas,Houston,77036.0,First Class,2015-09-07,2015-09-10
CA-2015-105172,PK-18910,United States,West,California,San Francisco,94109.0,Standard Class,2015-04-04,2015-04-09
CA-2015-105249,DH-13675,United States,West,California,San Francisco,94122.0,Same Day,2015-11-28,2015-11-28
CA-2015-105270,AP-10915,United States,West,California,Los Angeles,90008.0,Standard Class,2015-11-11,2015-11-18
CA-2015-105340,EH-14185,United States,Central,Texas,Pasadena,77506.0,First Class,2015-11-22,2015-11-25
CA-2015-105417,VS-21820,United States,Central,Texas,Huntsville,77340.0,Standard Class,2015-01-07,2015-01-12
CA-2015-105648,EJ-14155,United States,West,California,San Diego,92037.0,Standard Class,2015-03-03,2015-03-07
CA-2015-105872,JG-15160,United States,East,New York,New York City,10024.0,Standard Class,2015-05-30,2015-06-06
CA-2015-105893,PK-19075,United States,Central,Wisconsin,Madison,53711.0,Standard Class,2015-11-11,2015-11-18
CA-2015-105984,MY-18295,United States,East,Ohio,Columbus,43229.0,Same Day,2015-11-24,2015-11-24
CA-2015-106054,JO-15145,United States,South,Georgia,Athens,30605.0,First Class,2015-01-06,2015-01-07
CA-2015-106229,NR-18550,United States,Central,Illinois,Aurora,60505.0,Second Class,2015-06-07,2015-06-11
CA-2015-106264,CK-12595,United States,West,California,San Diego,92024.0,Standard Class,2015-12-26,2015-12-30
CA-2015-106376,BS-11590,United States,West,Arizona,Gilbert,85234.0,Standard Class,2015-12-05,2015-12-10
CA-2015-106439,GG-14650,United States,West,California,Los Angeles,90049.0,Standard Class,2015-10-31,2015-11-04
CA-2015-106572,NP-18700,United States,East,Ohio,Bowling Green,43402.0,Standard Class,2015-09-05,2015-09-10
CA-2015-106719,RB-19645,United States,West,Montana,Billings,59102.0,Same Day,2015-08-24,2015-08-24
CA-2015-106726,RS-19765,United States,West,California,Los Angeles,90008.0,First Class,2015-12-06,2015-12-08
CA-2015-106803,DC-13285,United States,Central,Minnesota,Cottage Grove,55016.0,Standard Class,2015-12-29,2016-01-02
CA-2015-106810,AJ-10795,United States,South,Florida,Saint Petersburg,33710.0,Standard Class,2015-05-14,2015-05-20
CA-2015-106971,BM-11785,United States,Central,Illinois,Buffalo Grove,60089.0,Standard Class,2015-09-02,2015-09-08
CA-2015-107139,DP-13390,United States,West,California,Los Angeles,90004.0,Standard Class,2015-07-05,2015-07-11
CA-2015-107153,GZ-14545,United States,East,Massachusetts,Lawrence,1841.0,Standard Class,2015-09-28,2015-10-03
CA-2015-107181,DB-13270,United States,West,California,San Diego,92024.0,Standard Class,2015-02-04,2015-02-08
CA-2015-107398,BS-11590,United States,East,Ohio,Columbus,43229.0,Standard Class,2015-08-25,2015-08-30
CA-2015-107454,RD-19720,United States,East,New York,New York City,10024.0,Standard Class,2015-11-02,2015-11-06
CA-2015-107524,KN-16705,United States,East,New York,New York City,10009.0,Standard Class,2015-03-02,2015-03-08
CA-2015-107573,PB-19150,United States,South,Florida,Miami,33178.0,Standard Class,2015-12-12,2015-12-17
CA-2015-107594,EH-13945,United States,East,New Jersey,Plainfield,7060.0,Standard Class,2015-07-02,2015-07-06
CA-2015-107706,ST-20530,United States,Central,Texas,Houston,77095.0,Second Class,2015-02-14,2015-02-19
CA-2015-107755,CK-12760,United States,East,New Jersey,Linden,7036.0,Standard Class,2015-02-07,2015-02-12
CA-2015-107769,BT-11395,United States,Central,Kansas,Garden City,67846.0,Standard Class,2015-10-28,2015-11-01
CA-2015-107811,LA-16780,United States,South,Tennessee,Memphis,38109.0,Standard Class,2015-04-29,2015-05-03
CA-2015-107818,MC-17275,United States,West,Washington,Pasco,99301.0,Standard Class,2015-09-08,2015-09-14
CA-2015-107916,JP-15460,United States,East,New York,Oceanside,11572.0,First Class,2015-08-24,2015-08-26
CA-2015-108147,RD-19480,United States,East,New York,Long Beach,11561.0,Standard Class,2015-06-08,2015-06-13
CA-2015-108182,DL-13315,United States,Central,Illinois,Romeoville,60441.0,Second Class,2015-02-06,2015-02-10
CA-2015-108189,ES-14080,United States,West,Arizona,Tempe,85281.0,First Class,2015-10-02,2015-10-05
CA-2015-108273,EJ-13720,United States,Central,Texas,Huntsville,77340.0,Standard Class,2015-12-16,2015-12-21
CA-2015-108609,AJ-10780,United States,East,Ohio,Lorain,44052.0,Second Class,2015-10-31,2015-11-02
CA-2015-108707,DB-12910,United States,South,Florida,Fort Lauderdale,33311.0,Standard Class,2015-10-24,2015-10-29
CA-2015-108861,MM-17260,United States,West,Washington,Seattle,98105.0,Standard Class,2015-05-28,2015-06-01
CA-2015-108903,DO-13435,United States,East,Ohio,Columbus,43229.0,Same Day,2015-10-03,2015-10-03
CA-2015-109043,CS-12355,United States,South,Florida,Hollywood,33021.0,First Class,2015-08-15,2015-08-17
CA-2015-109127,JC-15775,United States,East,Delaware,Newark,19711.0,Standard Class,2015-12-21,2015-12-25
CA-2015-109134,DE-13255,United States,West,California,Los Angeles,90008.0,Standard Class,2015-11-05,2015-11-10
CA-2015-109218,AR-10825,United States,West,California,Los Angeles,90004.0,Second Class,2015-06-30,2015-07-03
CA-2015-109232,ND-18370,United States,South,South Carolina,Mount Pleasant,29464.0,Second Class,2015-01-13,2015-01-16
CA-2015-109302,CS-12175,United States,East,New Jersey,Lakewood,8701.0,Standard Class,2015-08-12,2015-08-16
CA-2015-109491,LC-16930,United States,Central,Indiana,Richmond,47374.0,Standard Class,2015-02-20,2015-02-26
CA-2015-109680,VP-21760,United States,Central,Indiana,Indianapolis,46203.0,First Class,2015-10-06,2015-10-09
CA-2015-109855,LH-16900,United States,East,New York,New York City,10009.0,Standard Class,2015-09-01,2015-09-05
CA-2015-109890,PG-18820,United States,Central,Nebraska,Omaha,68104.0,Standard Class,2015-07-21,2015-07-27
CA-2015-109897,BW-11200,United States,West,California,San Francisco,94122.0,Standard Class,2015-08-12,2015-08-16
CA-2015-109904,BF-10975,United States,East,New York,New York City,10009.0,Second Class,2015-07-14,2015-07-17
CA-2015-109918,LR-17035,United States,West,California,Santa Clara,95051.0,Second Class,2015-09-07,2015-09-12
CA-2015-109932,VP-21760,United States,Central,Texas,Brownsville,78521.0,First Class,2015-12-09,2015-12-11
CA-2015-110030,LF-17185,United States,Central,Texas,Houston,77095.0,Second Class,2015-12-06,2015-12-08
CA-2015-110065,SP-20650,United States,East,New York,New York City,10009.0,Standard Class,2015-08-05,2015-08-11
CA-2015-110072,MG-17680,United States,East,Ohio,Newark,43055.0,Standard Class,2015-10-22,2015-10-28
CA-2015-110100,LC-16885,United States,South,North Carolina,Wilmington,28403.0,Standard Class,2015-04-25,2015-04-29
CA-2015-110184,BF-11170,United States,West,California,Los Angeles,90036.0,Standard Class,2015-07-12,2015-07-16
CA-2015-110219,EB-13870,United States,Central,Texas,San Antonio,78207.0,First Class,2015-05-05,2015-05-08
CA-2015-110352,ED-13885,United States,Central,Texas,Houston,77036.0,Standard Class,2015-11-23,2015-11-29
CA-2015-110408,AS-10225,United States,South,Alabama,Montgomery,36116.0,Second Class,2015-10-18,2015-10-20
CA-2015-110527,ED-13885,United States,West,California,San Diego,92037.0,Standard Class,2015-08-09,2015-08-16
CA-2015-110555,MM-18055,United States,West,Montana,Great Falls,59405.0,Standard Class,2015-04-11,2015-04-18
CA-2015-110611,JD-16015,United States,East,Pennsylvania,Philadelphia,19120.0,Standard Class,2015-10-06,2015-10-13
CA-2015-110639,RH-19495,United States,East,New York,New York City,10009.0,Same Day,2015-08-23,2015-08-23
CA-2015-110786,AJ-10795,United States,West,California,San Francisco,94110.0,Standard Class,2015-12-29,2016-01-02
CA-2015-110849,JL-15835,United States,West,California,Los Angeles,90049.0,Standard Class,2015-04-18,2015-04-23
CA-2015-111003,CR-12625,United States,East,New Jersey,Lakewood,8701.0,Standard Class,2015-06-01,2015-06-06
CA-2015-111059,TB-21400,United States,West,Washington,Seattle,98105.0,Second Class,2015-02-03,2015-02-06
CA-2015-111150,RW-19630,United States,Central,Missouri,Columbia,65203.0,Standard Class,2015-12-31,2016-01-04
CA-2015-111192,TS-21430,United States,West,Washington,Seattle,98103.0,Standard Class,2015-07-30,2015-08-05
CA-2015-111451,KL-16555,United States,West,Colorado,Colorado Springs,80906.0,First Class,2015-12-26,2015-12-28
CA-2015-111500,DJ-13510,United States,South,Arkansas,Little Rock,72209.0,Standard Class,2015-08-17,2015-08-21
CA-2015-111773,JK-15625,United States,East,New York,New York City,10024.0,Standard Class,2015-06-29,2015-07-03
CA-2015-111857,NM-18445,United States,West,California,San Francisco,94109.0,Second Class,2015-04-23,2015-04-26
CA-2015-111871,EK-13795,United States,West,California,San Francisco,94110.0,Second Class,2015-03-18,2015-03-21
CA-2015-111899,NC-18340,United States,Central,Texas,Houston,77036.0,First Class,2015-05-04,2015-05-05
CA-2015-111934,GD-14590,United States,South,Virginia,Arlington,22204.0,First Class,2015-05-05,2015-05-07
CA-2015-111962,EB-14170,United States,West,Washington,Seattle,98115.0,Standard Class,2015-09-29,2015-10-04
CA-2015-112158,DP-13165,United States,East,New York,New York City,10035.0,First Class,2015-12-02,2015-12-04
CA-2015-112326,PO-19195,United States,Central,Illinois,Naperville,60540.0,Standard Class,2015-01-04,2015-01-08
CA-2015-112403,JO-15280,United States,East,Pennsylvania,Philadelphia,19120.0,Same Day,2015-03-31,2015-03-31
CA-2015-112718,KN-16450,United States,South,Florida,Jacksonville,32216.0,Standard Class,2015-12-16,2015-12-21
CA-2015-112837,LW-17125,United States,West,California,Oxnard,93030.0,Standard Class,2015-09-11,2015-09-16
CA-2015-112851,NR-18550,United States,West,California,Chula Vista,91911.0,Standard Class,2015-09-17,2015-09-21
CA-2015-113047,AP-10915,United States,South,South Carolina,Rock Hill,29730.0,Same Day,2015-10-24,2015-10-24
CA-2015-113166,LF-17185,United States,South,Florida,Miami,33180.0,First Class,2015-12-24,2015-12-26
CA-2015-113271,DS-13030,United States,West,California,San Francisco,94122.0,Standard Class,2015-07-09,2015-07-14
CA-2015-113320,LH-17155,United States,West,California,Oakland,94601.0,Second Class,2015-12-12,2015-12-15
CA-2015-113362,AJ-10960,United States,East,New York,Rochester,14609.0,Standard Class,2015-09-14,2015-09-19
CA-2015-113383,SF-20065,United States,East,New Jersey,Clifton,7011.0,First Class,2015-09-10,2015-09-13
CA-2015-113579,KD-16345,United States,West,California,Los Angeles,90049.0,Second Class,2015-12-13,2015-12-15
CA-2015-113768,AH-10030,United States,West,California,Los Angeles,90004.0,Standard Class,2015-05-13,2015-05-19
CA-2015-113859,BC-11125,United States,Central,Texas,Odessa,79762.0,Standard Class,2015-09-13,2015-09-17
CA-2015-113880,VF-21715,United States,Central,Illinois,Elmhurst,60126.0,Standard Class,2015-03-01,2015-03-05
CA-2015-113887,TH-21550,United States,East,New York,New York City,10035.0,First Class,2015-04-05,2015-04-07
CA-2015-113929,CK-12205,United States,East,New York,Hempstead,11550.0,Standard Class,2015-06-16,2015-06-21
CA-2015-113964,JP-16135,United States,East,New York,New York City,10011.0,Standard Class,2015-09-23,2015-09-30
CA-2015-114125,GH-14410,United States,West,California,Los Angeles,90049.0,Standard Class,2015-07-09,2015-07-13
CA-2015-114181,AF-10885,United States,East,Pennsylvania,Philadelphia,19134.0,Second Class,2015-05-10,2015-05-14
CA-2015-114251,MD-17350,United States,East,Pennsylvania,Philadelphia,19143.0,Standard Class,2015-11-05,2015-11-10
CA-2015-114314,DB-13555,United States,South,Arkansas,Fayetteville,72701.0,Standard Class,2015-10-11,2015-10-15
CA-2015-114321,NC-18535,United States,South,Virginia,Hampton,23666.0,Standard Class,2015-08-20,2015-08-25
CA-2015-114335,XP-21865,United States,South,Florida,Hollywood,33021.0,Standard Class,2015-09-28,2015-10-03
CA-2015-114433,NP-18325,United States,West,California,Oakland,94601.0,Standard Class,2015-05-13,2015-05-17
CA-2015-114510,JF-15295,United States,West,Utah,Logan,84321.0,Standard Class,2015-03-14,2015-03-19
CA-2015-114517,TH-21235,United States,East,New York,New York City,10024.0,Standard Class,2015-12-23,2015-12-27
CA-2015-114643,FM-14215,United States,West,California,Los Angeles,90032.0,Standard Class,2015-06-13,2015-06-17
CA-2015-114790,FM-14215,United States,South,Kentucky,Richmond,40475.0,Second Class,2015-03-11,2015-03-13
CA-2015-115056,AR-10510,United States,East,Ohio,Columbus,43229.0,Same Day,2015-05-02,2015-05-02
CA-2015-115084,LS-17200,United States,South,Arkansas,Texarkana,71854.0,Standard Class,2015-10-18,2015-10-22
CA-2015-115133,DA-13450,United States,East,Ohio,Lancaster,43130.0,Standard Class,2015-09-26,2015-09-30
CA-2015-115161,LC-17050,United States,West,California,Mission Viejo,92691.0,First Class,2015-01-31,2015-02-02
CA-2015-115259,RC-19960,United States,East,Ohio,Columbus,43229.0,Second Class,2015-08-25,2015-08-27
CA-2015-115336,AB-10600,United States,Central,Illinois,Chicago,60623.0,Standard Class,2015-11-18,2015-11-25
CA-2015-115357,RF-19735,United States,South,South Carolina,Columbia,29203.0,Second Class,2015-08-06,2015-08-11
CA-2015-115791,DL-13315,United States,East,Pennsylvania,Philadelphia,19134.0,Second Class,2015-01-16,2015-01-18
CA-2015-115812,BH-11710,United States,West,California,Los Angeles,90032.0,Standard Class,2015-06-09,2015-06-14
CA-2015-115889,SH-20395,United States,West,California,San Francisco,94122.0,Standard Class,2015-11-02,2015-11-06
CA-2015-115973,NG-18430,United States,East,Ohio,Cincinnati,45231.0,First Class,2015-11-24,2015-11-26
CA-2015-115980,VW-21775,United States,Central,South Dakota,Sioux Falls,57103.0,Standard Class,2015-07-15,2015-07-19
CA-2015-116190,SG-20470,United States,South,Georgia,Atlanta,30318.0,Standard Class,2015-07-26,2015-08-01
CA-2015-116239,CL-12565,United States,South,South Carolina,Columbia,29203.0,Same Day,2015-03-04,2015-03-04
CA-2015-116246,LW-17215,United States,East,New York,New York City,10035.0,Second Class,2015-09-12,2015-09-17
CA-2015-116407,JF-15190,United States,South,Tennessee,Johnson City,37604.0,Standard Class,2015-11-15,2015-11-21
CA-2015-116568,BM-11785,United States,South,Florida,Deltona,32725.0,Standard Class,2015-12-14,2015-12-20
CA-2015-116666,KT-16480,United States,East,Pennsylvania,Philadelphia,19134.0,First Class,2015-05-08,2015-05-10
CA-2015-116673,JO-15280,United States,West,California,San Diego,92037.0,Second Class,2015-12-15,2015-12-19
CA-2015-116757,MS-17980,United States,Central,Texas,Houston,77095.0,Standard Class,2015-06-30,2015-07-04
CA-2015-116785,MH-17290,United States,West,California,Los Angeles,90036.0,Standard Class,2015-04-26,2015-04-30
CA-2015-116834,Dp-13240,United States,West,Washington,Seattle,98115.0,Standard Class,2015-10-11,2015-10-16
CA-2015-116904,SC-20095,United States,Central,Minnesota,Minneapolis,55407.0,Standard Class,2015-09-23,2015-09-28
CA-2015-116932,ME-18010,United States,West,California,San Francisco,94122.0,Standard Class,2015-07-21,2015-07-25
CA-2015-117016,SC-20095,United States,South,Florida,Margate,33063.0,Standard Class,2015-03-04,2015-03-09
CA-2015-117317,JF-15490,United States,West,California,Los Angeles,90032.0,Same Day,2015-10-19,2015-10-19
CA-2015-117345,BF-10975,United States,South,North Carolina,Charlotte,28205.0,Standard Class,2015-08-01,2015-08-05
CA-2015-117429,MR-17545,United States,East,Pennsylvania,Philadelphia,19140.0,Standard Class,2015-10-07,2015-10-13
CA-2015-117464,NP-18325,United States,West,California,San Francisco,94122.0,Second Class,2015-07-22,2015-07-24
CA-2015-117478,LH-16750,United States,East,Pennsylvania,Philadelphia,19140.0,First Class,2015-09-21,2015-09-24
CA-2015-117639,MW-18235,United States,South,Virginia,Virginia Beach,23464.0,Standard Class,2015-05-21,2015-05-25
CA-2015-117709,PM-18940,United States,Central,Michigan,Jackson,49201.0,Standard Class,2015-05-04,2015-05-08
CA-2015-117765,RB-19465,United States,Central,Oklahoma,Tulsa,74133.0,Standard Class,2015-09-07,2015-09-13
CA-2015-118192,MM-17920,United States,East,Ohio,Newark,43055.0,Standard Class,2015-01-13,2015-01-18
CA-2015-118276,MG-17890,United States,Central,Illinois,Saint Charles,60174.0,Standard Class,2015-12-29,2016-01-02
CA-2015-118304,KH-16360,United States,East,Delaware,Dover,19901.0,Standard Class,2015-04-29,2015-05-04
CA-2015-118339,BN-11515,United States,Central,Minnesota,Lakeville,55044.0,Standard Class,2015-03-17,2015-03-24
CA-2015-118962,CS-12130,United States,West,California,Los Angeles,90004.0,Standard Class,2015-08-05,2015-08-09
CA-2015-118976,MY-18295,United States,East,Maryland,Baltimore,21215.0,Standard Class,2015-04-28,2015-05-03
CA-2015-119032,MS-17770,United States,East,New York,New York City,10035.0,Standard Class,2015-11-27,2015-12-03
CA-2015-119144,JD-16150,United States,West,California,Los Angeles,90008.0,First Class,2015-11-16,2015-11-18
CA-2015-119151,MP-18175,United States,East,New York,New York City,10009.0,Second Class,2015-11-25,2015-11-29
CA-2015-119172,HD-14785,United States,Central,Illinois,Chicago,60610.0,Standard Class,2015-05-11,2015-05-15
CA-2015-119375,YC-21895,United States,East,Delaware,Newark,19711.0,Standard Class,2015-11-17,2015-11-22
CA-2015-119466,SP-20860,United States,Central,Illinois,Chicago,60623.0,Standard Class,2015-12-15,2015-12-21
CA-2015-119529,DM-13345,United States,East,New Jersey,Orange,7050.0,Second Class,2015-11-03,2015-11-05
CA-2015-119977,DN-13690,United States,East,New York,New York City,10011.0,Second Class,2015-10-08,2015-10-13
CA-2015-120096,KE-16420,United States,West,Colorado,Aurora,80013.0,First Class,2015-07-04,2015-07-07
CA-2015-120243,AT-10435,United States,West,California,Los Angeles,90004.0,Second Class,2015-12-27,2015-12-30
CA-2015-120278,MS-17365,United States,Central,Wisconsin,Wausau,54401.0,Standard Class,2015-11-07,2015-11-12
CA-2015-120411,SB-20185,United States,Central,Illinois,Chicago,60653.0,First Class,2015-09-20,2015-09-23
CA-2015-120432,DW-13585,United States,South,Kentucky,Owensboro,42301.0,Second Class,2015-08-24,2015-08-26
CA-2015-120474,RP-19390,United States,Central,Wisconsin,Madison,53711.0,First Class,2015-12-01,2015-12-03
CA-2015-120544,SS-20140,United States,Central,Texas,Mesquite,75150.0,Standard Class,2015-11-23,2015-11-27
CA-2015-120670,JK-16120,United States,South,Florida,Fort Lauderdale,33311.0,Standard Class,2015-11-02,2015-11-06
CA-2015-120768,IM-15070,United States,South,Alabama,Florence,35630.0,Second Class,2015-12-19,2015-12-21
CA-2015-120775,RD-19930,United States,Central,Texas,Dallas,75217.0,Standard Class,2015-10-03,2015-10-07
CA-2015-120838,PO-18865,United States,West,California,Los Angeles,90036.0,Second Class,2015-03-23,2015-03-26
CA-2015-120852,WB-21850,United States,Central,Texas,Grand Prairie,75051.0,Standard Class,2015-12-20,2015-12-25
CA-2015-120887,TS-21205,United States,East,New Jersey,Hackensack,7601.0,Standard Class,2015-09-27,2015-10-03
CA-2015-121006,SC-20020,United States,Central,Michigan,Midland,48640.0,Standard Class,2015-11-10,2015-11-16
CA-2015-121167,MO-17500,United States,East,New York,Freeport,11520.0,Second Class,2015-11-28,2015-11-30
CA-2015-121286,ON-18715,United States,South,North Carolina,Cary,27511.0,Second Class,2015-11-04,2015-11-08
CA-2015-121573,SG-20605,United States,East,New York,New York City,10009.0,Standard Class,2015-11-03,2015-11-07
CA-2015-121629,BT-11680,United States,Central,Texas,Houston,77041.0,Standard Class,2015-11-28,2015-12-02
CA-2015-121664,HP-14815,United States,West,California,Los Angeles,90049.0,Standard Class,2015-05-06,2015-05-10
CA-2015-121727,JK-15625,United States,East,Ohio,Columbus,43229.0,Standard Class,2015-08-19,2015-08-24
CA-2015-121762,ML-17395,United States,West,Washington,Seattle,98103.0,Standard Class,2015-02-14,2015-02-18
CA-2015-121769,JS-15880,United States,East,Ohio,Toledo,43615.0,Standard Class,2015-04-08,2015-04-12
